lemma	core_rank	frequency	pmw
県	2376	2471	30.2385712
浴びる	2011	2468	30.2018590
全身	3370	2464	30.1529095
要求	3054	2463	30.1406721
好み	2464	2457	30.0672478
周辺	1952	2451	29.9938235
事務所	2634	2434	29.7857881
買い物	1500	2430	29.7368385
無くす	3054	2426	29.6878890
気配	3552	2425	29.6756516
勇気	2542	2422	29.6389395
チェック	1804	2419	29.6022273
荷物	2898	2412	29.5165656
あちこち	3202	2410	29.4920909
工夫	2123	2410	29.4920909
クラス	3370	2398	29.3452423
作家	992	2395	29.3085302
交流	1589	2390	29.2473432
帰り	2290	2388	29.2228685
全員	2898	2387	29.2106311
重大	3054	2386	29.1983937
税金	3370	2382	29.1494442
生	6810	2381	29.1372068
光景	2771	2380	29.1249694
適用	4831	2375	29.0637825
教室	3975	2371	29.0148330
油	4222	2370	29.0025956
会議	1845	2369	28.9903582
人類	5205	2365	28.9414087
外国人	1128	2360	28.8802218
解決	1545	2356	28.8312722
強化	811	2346	28.7088984
理想	2061	2345	28.6966610
物質	2898	2341	28.6477115
死体	3975	2338	28.6109994
説	3370	2329	28.5008629
きつい	3202	2327	28.4763882
集団	3370	2327	28.4763882
男子	1301	2325	28.4519134
仲	5205	2322	28.4152013
根	4507	2322	28.4152013
習慣	3202	2311	28.2805901
教会	3975	2310	28.2683527
大勢	3202	2309	28.2561153
平和	2011	2298	28.1215041
足元	2771	2295	28.0847919
発想	2464	2290	28.0236050
国会	1804	2289	28.0113676
パパ	6219	2284	27.9501807
水準	1804	2282	27.9257060
来年	1500	2281	27.9134686
着物	2464	2273	27.8155695
不満	1326	2270	27.7788574
そっと	4831	2269	27.7666200
コース	2290	2268	27.7543826
天気	5678	2260	27.6564836
旅行	2771	2260	27.6564836
豊富	2290	2246	27.4851602
百	2123	2244	27.4606855
枝	3552	2234	27.3383116
今夜	5205	2229	27.2771247
実現	1545	2224	27.2159378
職業	2634	2211	27.0568518
トップ	2201	2205	26.9834275
年間	1952	2204	26.9711902
講師	4222	2200	26.9222406
出会い	2061	2199	26.9100033
週	2061	2198	26.8977659
湯	1245	2192	26.8243416
民間	1361	2191	26.8121042
ワイン	1702	2189	26.7876294
大した	3743	2186	26.7509173
改正	2464	2185	26.7386799
大半	1326	2181	26.6897304
休み	2898	2180	26.6774930
高度	1423	2177	26.6407809
強力	2542	2176	26.6285435
想像	3370	2175	26.6163061
指定	5678	2174	26.6040687
生える	4831	2174	26.6040687
青年	5205	2162	26.4572201
門	3370	2149	26.2981342
タクシー	2542	2138	26.1635229
虫	2376	2133	26.1023360
レストラン	1702	2131	26.0778613
生物	6810	2127	26.0289117
屋根	2771	2122	25.9677248
代表	1423	2119	25.9310127
昼	4507	2115	25.8820632
正面	3370	2109	25.8086389
常識	2290	2102	25.7229772
各地	2011	2101	25.7107398
時計	2376	2099	25.6862650
感想	2542	2079	25.4415174
糸	2771	2077	25.4170426
漢字	3743	2077	25.4170426
草	5205	2076	25.4048053
しめる	5678	2074	25.3803305
成績	2542	2072	25.3558557
ポケット	15135	2070	25.3313810
パターン	6219	2068	25.3069062
玉	4507	2065	25.2701941
発見	2061	2065	25.2701941
産業	2201	2062	25.2334819
解説	3054	2058	25.1845324
世話	2290	2050	25.0866333
輸入	6810	2050	25.0866333
高校生	3975	2038	24.9397847
バッグ	2634	2034	24.8908352
用	6810	2031	24.8541231
問い	2376	2028	24.8174109
ビル	1952	2028	24.8174109
武器	5678	2027	24.8051735
アパート	2898	2026	24.7929362
いえ	10002	2026	24.7929362
図書館	6810	2026	24.7929362
四日		2025	24.7806988
注目	2201	2021	24.7317492
有無	2464	2018	24.6950371
学習	3370	2007	24.5604259
日記	3743	2006	24.5481885
工事	4507	2001	24.4870016
兄弟	2898	1996	24.4258147
大部分	5678	1994	24.4013399
関連	2634	1978	24.2055418
愛情	3370	1977	24.1933044
訓練	2464	1977	24.1933044
正直	4831	1972	24.1321175
有利	3743	1949	23.8506577
温度	3743	1948	23.8384203
低下	2771	1948	23.8384203
欠ける	3370	1945	23.8017082
才能	3975	1945	23.8017082
スーパー	2771	1942	23.7649961
多少	7561	1933	23.6548596
共通	2771	1929	23.6059101
二日	1219	1926	23.5691979
相当	3743	1925	23.5569606
手前	3552	1924	23.5447232
登場	1500	1920	23.4957736
牛	3975	1911	23.3856372
列車	6219	1909	23.3611624
末	3370	1906	23.3244503
どうせ	4831	1901	23.2632634
農家	1659	1900	23.2510260
